# synset_id	definitions
00001740-v	생물이 숨을 들이마시고 내쉼을 통하여 산소를 받아들이어 삭임을 돕고 그 결과 생기는 탄산가스를 밖으로 내보내는 작용	눈 앞에 보이는 형상을 갖춘 일/1/4과 물건/0/1
00093483-n	구하여 줌.
00093874-n	구하여 줌.
00094001-n	구하여 줌.
00095377-v	풀, 나무에 눈이 틈.
00095502-n	풀어놓음.
00095971-n	가르쳐서 좋은 데로 이르게 함.
00096211-n	구하여 줌.
00096343-n	구하여 줌.
00096513-n	구하여 줌.
00097504-n	실지로 시행함.	계획한 대로 해냄.	실지로 행함
00098625-n
00100551-v
00101191-n	악기로 음악을 들려주는 일
00104539-n
00105479-n
00106104-n
00106272-n
00106888-n
00112312-n
00113113-n
00113726-n
00114871-n
00115667-n
00118733-n	게움 or n(먹은 것을 삭이지 못하고 도로 입 밖으로 내어 보내다)
00121366-n	무엇을 전하여 이르게 함.
00122338-n	무엇을 전하여 이르게 함.
00124617-n	싸워서 다툼.
00124880-n	맞대어 이음 + 가까이 접함
00125126-n
00126236-n	맞부딪침
00126447-n	맞부딪침
00140652-n	기계 따위를 움직이게 다룸.
00140751-v	서로 주고받음.
00141176-n	사물의 내용을 자세히 살펴봄.	깊이 연구하여 밝힘.
00141396-n	사물의 내용을 자세히 살펴봄.	깊이 연구하여 밝힘.
00141806-n
00142665-n	견주는 일
00143251-n	사물의 내용을 자세히 살펴봄.	깊이 연구하여 밝힘.
00143536-n	사물의 내용을 자세히 살펴봄.	깊이 연구하여 밝힘.
00145218-n	맞대어 이음.
00146111-n	서로 엇걸림.
00146277-n	맞대어 이음 + 가까이 접함	맞대어 이음.
00146443-n	맞대어 이음.
00147454-n	맞대어 이음.
00148242-n
00148653-n
00148978-n
00151497-n	잼.
00151689-v
00153809-n	얽힌 일을 풀어 처리함.
00154778-v	늘이어서 크게 함.
00155143-v
00156625-n	남을 꾀어 내거나 여러 사람을 부추기어 일을 일으키게 함.
00157462-v	더하여 많아짐.
00157463-n	드러냄.
00157687-n	드러냄.
00159396-n
00160532-n	목적하는 바를 이룸.
00161243-n	여럿 가운데서 골라 뽑음.
00161888-n	여럿 가운데서 골라 뽑음.
00162632-n	어떻게 할 태도나 방향 등을 정함.
00163406-n	달라져서 바뀜.
00163779-n	직무를 맡기는 일과 그만두게 하는 일.	직무를 맡김.
00164152-n	직무를 맡기는 일과 그만두게 하는 일.	직무를 맡김.
00164345-n
00164579-n
00165942-n	다루어서 치우거나 없애 버림
00168237-n	다루어서 치우거나 없애 버림
00168658-n	살림하는 곳을 옮김.
00171249-n	모책과 방략.
00171618-n	모책과 방략.
00172598-n	모책과 방략.
00172710-n
00173338-v	없애 버림.
00173761-n
00174003-n
00174412-n
00176618-v	없애 버림.
00177448-n
00178235-v	없애 버림.
00179060-v	없애 버림.
00180054-n	어떻게 할 태도나 방향 등을 정함.
00180228-n	할 일에 대하여 결정되거나 결정한 마음.
00180413-n	찬성과 반대.	옳다고 여겨 동의함.
00180962-n	여럿 가운데서 골라 뽑음.
00181373-n	여러 사람들 가운데서 대표자 등을 골라 뽑는 일.
00181781-n	여러 사람들 가운데서 대표자 등을 골라 뽑는 일.
00182406-v	나중에 더 보탬.
00182435-n	여러 사람들 가운데서 대표자 등을 골라 뽑는 일.
00182571-n	여러 사람들 가운데서 대표자 등을 골라 뽑는 일.
00183240-n	여러 사람들 가운데서 대표자 등을 골라 뽑는 일.
00187710-n
00190783-n	얽힌 일을 풀어 처리함.
00191142-n	달라져서 바뀜.
00192613-n	꼭 써야 할 데에만 쓰도록 아낌.
00192910-n	꼭 써야 할 데에만 쓰도록 아낌.
00193225-n	사물을 어느 정도에 맞추어서 알맞게 함.
00193406-n	사물을 어느 정도에 맞추어서 알맞게 함.
00194534-v	새긴 그림이나 글씨가 오래 묵어 긁히고 깎여서 떨어짐.
00195342-v	없애 버림.
00196084-n	달라져서 바뀜.
00196485-n	달라져서 바뀜.
00197610-n
00197772-n
00199707-n	사물을 어느 정도에 맞추어서 알맞게 함.
00200379-n	사물을 어느 정도에 맞추어서 알맞게 함.
00201058-n	어떤 곳으로 지나서 다님.
00201516-n	남의 일에 부당하게 관계함.
00201671-n	모양이나 형식 따위를 달라지게 함.
00201923-n	못 하게 함.
00202284-n	거슬러서 대어듦.
00203020-n
00203342-n	받아들이지 않고 물리침.
00203649-n	받아들이지 않고 물리침.
00203753-n	받아들이지 않고 물리침.
00204439-n	받아들이지 않고 물리침.
00204585-v	마음이나 행동이 잡되고 잘못된 길로 빠짐.
00204814-n	마음이 달라짐.
00205079-n	생각을 버림.
00205349-n	받아들이지 않고 물리침.
00205649-n	생각을 버림.
00206927-n	호적, 학적, 당적 따위에서 빼어 버림
00209446-n	일자리나 직무를 물러나게 함.
00209943-n	끝냄.
00210518-n
00210797-n
00210940-n	끝냄.
00211110-n	끝냄.
00211462-n
00212065-n	규정된 학업의 과정을 마침.
00213052-n	남에게 넘겨 줌.
00213343-n
00213694-n
00213903-n	책임이나 의무를 벗어나게 해 줌.
00214148-n	책임이나 의무를 벗어나게 해 줌.
00215314-n	끝냄.
00216038-n	끝냄.
00216174-n	일자리나 직무를 물러나게 함.
00216607-n	일자리나 직무를 물러나게 함.
00216723-n	일자리나 직무를 물러나게 함.
00217014-n	망해서 없어짐.
00217773-n	망해서 없어짐.
00218208-n	망해서 없어짐.
00218330-v	마름과 젖음.	말라서 물기(습기)가 없어짐.
00218475-v	마름과 젖음.	말라서 물기(습기)가 없어짐.
00218753-n	때리어 부수거나 헐어 버림.
00219403-v	마름과 젖음.	말라서 물기(습기)가 없어짐.
00220023-n	남이 죽임.
00220409-n	남이 죽임.
00220522-n	남이 죽임.
00221056-n
00221178-n
00222485-n	제 목숨을 스스로 끊어서 죽음.
00222766-n	망해서 없어짐.
00223268-n	제 목숨을 스스로 끊어서 죽음.
00223362-n	제 목숨을 스스로 끊어서 죽음.
00223983-n
00224260-n
00226071-v	몹시 묽게 섞어 타거나 풂.
00226319-n	줄거나 오그라짐.
00228283-n	실시해 오던 제도, 풍습 따위를 그만두거나 없앰.
00228535-n	끝냄.
00229260-n	끝냄.
00229934-n	불이 난 것을 끔.	불이 나지 않도록 예방하며 불난 것을 끄는 일.
00234057-v
00234857-v	자유가 없게 얽어맴.
00235208-n	엎어 넘어뜨림.
00237078-n	굳게 섬. 또는, 굳게 세움.	일 따위가 이루어짐.
00237511-v	진하게 졸임.
00238527-n
00239483-n	격식을 갖춘 행사.
00239910-n	처음으로 시작함.
00240131-v	줄여서 작게 만듦.	적어짐.
00240184-n
00240938-n	베풀어서 갖춤. 또는, 그러한 시설.
00241038-v	줄여서 작게 만듦.
00241699-n
00243900-v	줄여서 작게 만듦.
00243918-n	밥을 짓거나 하는 따위의 일.
00249313-v	발을 뒤로 떼어 놓으며 걷는 걸음
00249852-v	식물이 열매를 맺음.
00249987-n	발전되어 앞으로 나아감.
00251013-n	깨끗이 쓸어 치움.
00251636-n	깨끗이 쓸어 치움.
00251780-n	깨끗이 쓸어 치움.
00251791-v	사물이 생겨 나는 본바탕 + 사물이 생긴 근원
00252020-n
00252307-n	깨끗이 쓸어 치움.
00255214-n	목욕통에 들어감.
00257770-n	목욕통에 들어감.
00259643-n	상대자에게 끼친 손해의 보상으로서, 그것에 해당하는 대가를 다른 물건으로 대신 물어 줌	은혜를 갚음
00259894-n	상대자에게 끼친 손해의 보상으로서, 그것에 해당하는 대가를 다른 물건으로 대신 물어 줌	은혜를 갚음
00260622-n	사라져 없어짐.	새롭게 뜯어고침.	새롭게 고침.
00262596-n	꾸미는 일
00262743-n	꾸미는 일
00265773-n	가르쳐서 좋은 데로 이르게 함.
00266806-n	건물 따위의 허름한 데를 고치어 말끔하게 함.
00267522-n	건물 따위의 허름한 데를 고치어 말끔하게 함.
00268557-n	건물 따위의 허름한 데를 고치어 말끔하게 함.
00269018-n	역사적으로 구분한 어떤 기간
00269674-n
00269682-v
00269963-n
00272448-n	마음이나 행동이 잡되고 잘못된 길로 빠짐.
00273601-n	권세나 살림이 줄어서 보잘것없이 됨.
00273877-n
00274707-n	빛깔이 달라짐.
00276883-v	일정한 차례나 간격으로 벌여 놓음.
00276987-n	더럽게 물듦.
00277659-v	일정한 차례나 간격으로 벌여 놓음.
00278280-v	일정한 차례나 간격으로 벌여 놓음.
00280586-n	옮아 다님.
00280853-n	맞대어 이음 + 가까이 접함	가고 오고 함.
00281132-n	나감과 들어옴.
00281462-n
00282613-n	겪어 지내 온 여러 가지 일들.
00283951-n	두 발을 번갈아 옮겨 놓는 동작.	걸어 가거나 걸어 다님.
00284101-n	이리저리 거닐어 다님.
00284409-n	이리저리 거닐어 다님.
00288000-n
00292125-n	아무 목표도 없이 놀아 가면서 어정어정 돌아다님.
00292877-v	시간이나 거리를 짧게 줄임
00293916-n	‘급히 뛰어 달려가는 걸음’의 준말.
00294452-n	‘급히 뛰어 달려가는 걸음’의 준말.
00294868-n	기는 일
00297062-n	정처 없이 떠돌아 다님.
00297404-n	정처 없이 떠돌아 다님.
00298497-n	마음대로 다루어 부림.
00302394-n	날아가거나 날아다님.
00303221-n	날아가거나 날아다님.
00303495-n	날아가거나 날아다님.
00306426-n	자기가 사는 곳을 떠나 먼길을 감.
00307568-v	화산이 터져서 땅 속의 바윗물이나 화산재 따위를 땅거죽으로 내뿜는 현상.
00308370-n	자기가 사는 곳을 떠나 먼길을 감.
00309115-n	배나 비행기를 타고 다님.
00309906-n
00310347-n	자기가 사는 곳을 떠나 먼길을 감.
00310516-n	자기가 사는 곳을 떠나 먼길을 감.
00310666-n	자기가 사는 곳을 떠나 먼길을 감.
00311809-n	잘 놀고 즐겁게 지냄.
00312553-n	자기가 사는 곳을 떠나 먼길을 감.
00314469-n	생계를 세우기 위하여 일정한 동안 계속 종사하는 일.	무엇을 이루려고 몸이나 정신을 쓰는 짓.
00315700-n
00315810-v	사물의 가치를 좋고 나쁨 따위로 따져서 매김.
00315830-n	옮아 다님.
00315986-n	사람이 오고 가고 하는 일이나, 짐을 실어 나르는 일.
00316768-v	시간이나 거리를 짧게 줄임
00318035-n
00318391-n
00318735-n	나름.
00318816-v	길고 넓게 늘임.
00319717-n	나름.
00319825-n	나름.
00320852-n	옮아 다님.
00322228-n	물건을 싸서 꾸림.
00323262-n
00324056-n
00324384-n	위로 올라감.	오르고 내림.
00325110-n	위로 올라감.	오르고 내림.
00326291-n	공중을 낢.
00326440-n	공중에서 아래쪽으로 내림
00327366-n	공중에서 아래쪽으로 내림
00328015-n	본디 상태나 자리로 다시 돌아감.
00329227-n	흐름.
00329619-n	흐름.
00329819-n	흐름.
00329943-n
00330984-n
00331655-n	옮아 다님.
00331950-n	움직임
00332835-v	서로 나뉘어서 떨어지거나 떨어지게 함.
00334509-n	몸을 놀리는 짓.
00334996-v	때리어 부수거나 헐어 버림.	서로 나뉘어서 떨어지거나 떨어지게 함.
00335366-v
00335653-n	움직임
00335814-n	엎어 넘어뜨림.
00335923-v
00336158-v
00342028-n	빙빙 돌아서 구름.
00342314-v	물건이 사라져 잃어짐.
00342424-n	빙빙 돌아서 구름.
00342755-n	빙빙 돌아서 구름.
00343249-n	빙빙 돌아서 구름.
00343606-n	빙빙 돌아서 구름.
00345454-n	빙빙 돌아서 구름.
00345761-v	처음으로 하거나 쉬었다가 다시 함.
00346693-n
00347087-n	꺾어돌기.
