# synset_id	definitions
00001740-v	생물이 숨을 들이마시고 내쉼을 통하여 산소를 받아들이어 삭임을 돕고 그 결과 생기는 탄산가스를 밖으로 내보내는 작용	눈 앞에 보이는 형상을 갖춘 일/1/4과 물건/0/1
02820798-n
02821627-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
02822220-n	잠을 자는 데에 쓰이는 물건. 
02823428-n	주로 액체나 가루를 담는 데 쓰이는, 목과 아가리가 좁은 그릇 + 아가리가 좁고 배가 부른 질그릇의 한 가지 + 꽃을 심는 그릇
02824448-n	악기의 한 가지. 놋을 주로 하여 부어 만들되 속이 비어서 치면 소리가 나게 되었다 + 얇은 쇠붙이로 동그랗고 속이 비게 만들어 그 속에 단단한 물건을 넣어서 흔들면 소리가 나는 물건 + 나무로 만든 관에 여덟 구멍을 뚫고, 아래 끝에는 깔때기꼴로 된 놋쇠를 대고, 부리에는 갈대로 만든 혀를 끼워 부는 국악기.
02825004-n
02827606-n	몸꾸미개.
02827883-n
02828884-n	앉을 때에 몸을 뒤로 기대는 기구.
02829116-n	앉을 때에 몸을 뒤로 기대는 기구.
02834778-n
02835271-n
02837416-n
02837789-n
02844307-n
02844714-n	말을 부릴 때 쓰는 연장이나 말에 딸린 꾸미개.
02847461-n
02848216-n
02849154-n	잠을 자는 데에 쓰이는 물건. 
02850732-n
02854739-n	아랫몸에 입는 옷
02854926-n	윗몸에 입는 옷
02856109-n
02857477-n	사람이 들어서 살 수 있게 만든 것
02857644-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
02858304-n
02859184-n	주로 피륙으로 만든, 머리에 쓰는 물건.
02861886-n	건조하여 이루어진 물건.
02866474-n
02866578-n	전쟁에 쓰이는 총검, 화포, 핵병기 따위 온갖 기구.
02867715-n
02868546-n
02869737-n
02870092-n	글자나 숫자 따위로 일정한 뜻을 나타낸 것.	산출한 물건.
02871525-n	물건을 파는 가게.
02873839-n
02874086-n	물건을 파는 가게.
02875013-n	한 점이 죽 이어 움직인 자취. 직선과 곡선의 구별이 있다.
02875233-n
02876657-n	주로 액체나 가루를 담는 데 쓰이는, 목과 아가리가 좁은 그릇 + 아가리가 좁고 배가 부른 질그릇의 한 가지 + 꽃을 심는 그릇
02878222-n
02879718-n	전쟁에 쓰이는 총검, 화포, 핵병기 따위 온갖 기구.
02880008-n	향하고 있는 쪽이나 곳
02880393-n	전쟁에 쓰이는 총검, 화포, 핵병기 따위 온갖 기구.
02880546-n
02880940-n	비어 있는 그릇+술 따위를 따라 마시는 데 쓰려고 만든 작은 그릇+운두가 썩 얕고 납작한 그릇
02883344-n	물건을 넣어 두기 위하여 나무, 대, 또는 종이로 만든 손그릇. 
02888133-n
02894605-n
02897237-n	원료나 재료를 가공하여 물건을 만들어 내는 시설을 갖춘 곳.
02898585-n
02898711-n	강이나 내나 두 언덕 사이의 위로 건너 다니도록 돌, 쇠, 나무 따위로 설쳐 만든 설비.
02903006-n
02904803-n	옷을 지을 감.
02912065-n	집안 살림에 쓰는 온갖 제구.
02912557-n
02912894-n
02914991-n	건조하여 이루어진 물건.
02916179-n
02916350-n
02917742-n
02919414-n
02919792-n	사람이 들어서 살 수 있게 만든 것
02921884-n	무덤이 있는 땅. 또는, 그 구역.	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
02922798-n
02924554-n
02926188-n
02927161-n	물건을 파는 가게.
02927399-n	전체를 몇으로 나눈 것의 하나하나.
02927608-n	널조각이나 철판 따위로 크고 깊게 만든, 주로 액체를 담는 데 쓰는 그릇+통조림. 또는, 통조림의 통+나무로 만든 통
02930492-n	산출한 물건.
02930645-n	다른 곳으로 다닐 수 있게 나 있는 곳
02930766-n
02931013-n
02932019-n
02932227-n
02932400-n	사람이 들어서 살 수 있게 만든 것
02932891-n
02933462-n
02934168-n
02935658-n	음식을 파는 가게.
02935891-n	음식을 파는 가게.
02939763-n	옷을 지을 감.
02942699-n	촬영기.
02943964-n
02944146-n
02944826-n	군대가 머물러 둔치는 곳.
02946921-n	널조각이나 철판 따위로 크고 깊게 만든, 주로 액체를 담는 데 쓰는 그릇+통조림. 또는, 통조림의 통+나무로 만든 통
02947212-n	바다 따위의 물로 다니는 길
02948072-n	온갖 등에 켠 불
02949202-n
02949356-n	물건을 베거나 썰거나 깎는 데 쓰는, 날과 자루가 있는 연장.
02949691-n
02950256-n
02950482-n
02950826-n
02950943-n
02952374-n
02952798-n	물건을 파는 가게.
02957427-n	토목이나 건축이나 그 밖에 여러 가지 물건을 만드는 데 재료로 쓰이는 돌.	바위가 부서져서 된 광물질의 굳은 덩어리
02958343-n
02959942-n
02964389-n	사고 파는 물품.
02965216-n
02965300-n
02965529-n
02968473-n
02969323-n
02969886-n
02970100-n
02970849-n
02973558-n
02974697-n	물건을 담는 기구
02975412-n
02976939-n
02978055-n	물건을 넣어 두기 위하여 나무, 대, 또는 종이로 만든 손그릇. 
02980441-n	성과 요새
02984061-n	예배 의식이나 그 밖의 모임을 위해 세운 건물.
02984203-n	예배 의식이나 그 밖의 모임을 위해 세운 건물.
02987492-n
02991048-n
02991302-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
02991555-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
02991711-n
02992211-n
02992529-n
02997607-n
02999410-n	노끈, 새끼 따위와 같이 묶거나 동이거나 하는 데 쓰는 물건 + 쇠로 만든 고리를 여러 개 걸어 이은 줄
03001627-n	앉을 때에 몸을 뒤로 기대는 기구.
03002711-n	앉을 때에 몸을 뒤로 기대는 기구.
03002816-n	사람이 들어서 살 수 있게 만든 것
03002948-n	비어 있는 그릇+술 따위를 따라 마시는 데 쓰려고 만든 작은 그릇+운두가 썩 얕고 납작한 그릇
03003091-n
03003730-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
03004146-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
03006105-n	바다 따위의 물로 다니는 길
03006903-n
03009794-n
03013580-n
03014705-n	물건을 넣어 두기 위하여 나무, 대, 또는 종이로 만든 손그릇. 
03015254-n	물건을 넣어 두는 가구의 한 가지. 
03016511-n	농장과 목장
03016953-n	물건을 넣어 두는 가구의 한 가지. 
03017168-n
03018209-n
03020416-n
03020692-n
03021121-n
03022406-n
03028079-n	예배 의식이나 그 밖의 모임을 위해 세운 건물.
03030035-n
03030663-n
03032252-n	연극이나 영화 따위를 전문으로 상연하는 건물이나 시설.
03034244-n
03035252-n
03036341-n
03036469-n	몸을 싸서 가리기 위하여 피륙 따위로 몸의 전체나 각 부분의 둘레에 맞게 지어 입는 물건.	몸을 싸서 가리기 위하여 피륙 따위로 몸의 전체나 각 부분의 둘레에 맞게 지어 입는 물건
03038480-n
03038685-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
03039015-n
03039827-n	물건을 파는 가게.
03041632-n	물건을 베거나 썰거나 깎는 데 쓰는, 날과 자루가 있는 연장.
03041810-n	공기가 통하고 햇빛을 받을 수 있도록 벽에 낸 작은 문.
03043274-n	병든 사람을 진찰, 치료 및 예방하기 위하여 설비를 갖추어 놓은 곳.
03044934-n
03045074-n
03046257-n	시간을 재거나 가리키는 기계. 흔히 태엽의 힘으로 바퀴를 돌게 하고 추나 유사의 움직임을 이용하여 바퀴의 도는 속도를 일정하게 조절하게 되어 있다.
03047690-n	땅에 딛고 서거나 걷기 위하여 발에 신는 물건. 
03049457-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
03051540-n	몸을 싸서 가리기 위하여 피륙 따위로 몸의 전체나 각 부분의 둘레에 맞게 지어 입는 물건.	몸을 싸서 가리기 위하여 피륙 따위로 몸의 전체나 각 부분의 둘레에 맞게 지어 입는 물건
03053474-n	물건 바닥 한 가운데 박아 넣는 다른 물건.
03054491-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
03056368-n	유용한 광물을 캐내는 곳.
03057021-n
03058726-n
03059528-n
03060294-n
03061211-n	도구(즐겁게 노는 일)+ 운동하는 데 쓰는 기구
03062015-n
03064758-n	속이 비고 가느스름한 통대의 토막 + 골이나 판처럼 물건을 만드는 데 본이 되는 물건
03066743-n
03067212-n
03069381-n
03071782-n
03071923-n	헝겊이나 종이 따위에 글자나 그림이나 부호를 그리어서 막대 같은 것에 달아 특정한 뜻을 나타내는 표상으로 쓰는 물건
03075634-n
03076411-n	물건을 파는 가게.
03076708-n	사고 파는 물품.
03079741-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
03082979-n	전자계산기.
03088707-n
03089879-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
03093574-n	사고 파는 물품.
03096273-n	사고 파는 물품.
03104147-n	유용한 광물을 캐내는 곳.
03106898-n
03109150-n
03109486-n
03109881-n	드러나지 아니한 치우친 곳.
03110332-n	토목이나 건축이나 그 밖에 여러 가지 물건을 만드는 데 재료로 쓰이는 돌.	바위가 부서져서 된 광물질의 굳은 덩어리
03110470-n	토목이나 건축이나 그 밖에 여러 가지 물건을 만드는 데 재료로 쓰이는 돌.	바위가 부서져서 된 광물질의 굳은 덩어리
03110669-n
03112099-n	같은 층의 방들을 잇는, 건물 안의 긴 통로.
03113152-n	화장하는 데 쓰는 물건.
03113657-n
03113835-n
03114041-n
03114236-n
03115180-n	옷을 지을 감.
03115301-n	솜, 삼, 고치, 털 따위를 가늘고 길게 뽑은 것.
03115400-n	옷을 지을 감.
03116530-n
03117642-n
03120491-n	경기를 할 수 있는 설비와 관람석 따위를 갖추어 놓은 곳.
03123553-n
03129123-n
03133415-n	주로 액체나 가루를 담는 데 쓰이는, 목과 아가리가 좁은 그릇 + 아가리가 좁고 배가 부른 질그릇의 한 가지 + 꽃을 심는 그릇
03134595-n
03136504-n
03138534-n	물건의 맨 위쪽.
03138856-n
03138981-n	어떤 사물의 꼭대기나 겉이 되는 부분
03141065-n
03141327-n
03141612-n	주로 액체나 가루를 담는 데 쓰이는, 목과 아가리가 좁은 그릇 + 아가리가 좁고 배가 부른 질그릇의 한 가지 + 꽃을 심는 그릇
03141823-n
03142679-n
03142834-n
03142912-n
03145384-n
03146846-n	농사에 쓰이는 기구.
03147509-n	비어 있는 그릇+술 따위를 따라 마시는 데 쓰려고 만든 작은 그릇+운두가 썩 얕고 납작한 그릇
03149135-n
03149686-n
03153246-n
03154073-n
03158186-n
03158885-n
03160309-n	큰물이 넘치는 것을 막거나 물을 저장하려고 돌이나 흙 따위로 막아 쌓은 언덕.
03160740-n	옷을 지을 감.
03166951-n	악기의 한 가지. 놋을 주로 하여 부어 만들되 속이 비어서 치면 소리가 나게 되었다 + 얇은 쇠붙이로 동그랗고 속이 비게 만들어 그 속에 단단한 물건을 넣어서 흔들면 소리가 나는 물건 + 나무로 만든 관에 여덟 구멍을 뚫고, 아래 끝에는 깔때기꼴로 된 놋쇠를 대고, 부리에는 갈대로 만든 혀를 끼워 부는 국악기.
03169390-n	치레하는 데 쓰이는 거리.
03175081-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
03175843-n	솜, 삼, 고치, 털 따위를 가늘고 길게 뽑은 것.
03176084-n	이를 닦는 데에 쓰는 약.
03176763-n	여러 가지 상품을 갖추어 놓고 파는 큰 규모의 상점.
03178782-n	치레하는 데 쓰이는 거리.
03179701-n	글을 읽거나 쓰는 데 받치고 쓰는 상.
03180384-n	음식이나 그밖의 물건을 끼워서 집는 제구 + 밥이나 국물 따위를 떠먹는 기구
03180504-n
03181501-n
03182795-n
03185562-n
03185746-n
03192790-n
03192907-n
03193107-n
03199901-n
03200701-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
03205458-n
03206718-n
03206908-n	비어 있는 그릇+술 따위를 따라 마시는 데 쓰려고 만든 작은 그릇+운두가 썩 얕고 납작한 그릇
03207743-n
03207835-n
03210552-n
03210940-n
03211117-n
03214670-n	‘조제한 약’를 물품으로 보고 하는 말.
03216402-n
03219135-n	도구(즐겁게 노는 일)+ 운동하는 데 쓰는 기구
03220513-n	집의 위쪽을 덮어 가리는 부분.
03221720-n	드나들거나 통할 수 있도록 만들어 놓은 물건
03224032-n	드나드는 문.
03233123-n	옷을 지을 감.
03233423-n	승부나 차례를 결정하는 방법으로 쓰는 물건, 또는 그 방법. 무슨 글귀나 기호를 적은 종이쪽 또는 대오리의 여러 개 속에서 하나를 뽑아서 그 결과로 결정하게 된다.
03235042-n
03235979-n
03236217-n
03236735-n
03238131-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
03239054-n
03239259-n
03239399-n	같은 층의 방들을 잇는, 건물 안의 긴 통로.
03239607-n
03239726-n	물건을 만들거나 고치는 데 쓰는 기구나 연장들.
03241496-n	비어 있는 그릇+술 따위를 따라 마시는 데 쓰려고 만든 작은 그릇+운두가 썩 얕고 납작한 그릇
03244388-n	다른 곳으로 다닐 수 있게 나 있는 곳
03246052-n
03247620-n	‘조제한 약’를 물품으로 보고 하는 말.
03249342-n	물건을 파는 가게.
03249569-n
03250847-n	물건 바닥 한 가운데 박아 넣는 다른 물건.
03252637-n
03253071-n	옷을 지을 감.
03254374-n
03258330-n
03258730-n
03260504-n
03261157-n	뚫어지거나 파낸 자리.
03262519-n
03262932-n
03264542-n	가의 언저리.	어떤 물건의 테두리나 얼개가 되는 물건.
03265479-n	한 점이 죽 이어 움직인 자취. 직선과 곡선의 구별이 있다.
03268470-n
03268790-n
03272383-n	온갖 등에 켠 불
03273061-n	수력, 화력, 전력 따위 에너지를 기계적 에너지로 바꾸는 기계. 열기관, 수력터빈, 전동기 따위.
03273551-n
03274796-n
03281935-n
03282060-n	큰물이 넘치는 것을 막거나 물을 저장하려고 돌이나 흙 따위로 막아 쌓은 언덕.
03282401-n	치레하는 데 쓰이는 거리.
03283827-n
03284886-n	칠로 쓰는 감
03286383-n
03287733-n	수력, 화력, 전력 따위 에너지를 기계적 에너지로 바꾸는 기계. 열기관, 수력터빈, 전동기 따위.
03288500-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
03289985-n
03291819-n	자질구레한 물품을 넣고 아가리를 졸라매어 허리띠에 차거나 들도록 만든 물건. 
03294048-n	베풀어서 갖춤. 또는, 그러한 시설.
03298089-n
03303965-n	뚫어지거나 파낸 자리.
03306207-n	사고 파는 물품.
03306610-n
03306869-n	전화기로 말을 주고받는 일.
03308297-n	뚫어지거나 파낸 자리.
03309214-n
03309808-n	옷을 지을 감.
03313333-n	향하고 있는 쪽이나 곳
03313456-n
03313602-n	밖으로 드러난 쪽이나 면.
03313873-n
03314378-n	입마개.
03314780-n
03315023-n	베풀어서 설비한 구조물.
03315644-n
03315805-n
03315990-n
03316406-n	원료나 재료를 가공하여 물건을 만들어 내는 시설을 갖춘 곳.
03316873-n
03318865-n
03320519-n
03320735-n	치레하는 데 쓰이는 거리.
03322099-n	농장과 목장
03322836-n	사람이 들어서 살 수 있게 만든 것
03323096-n	농장과 목장
03324928-n
03325941-n	주로 피륙으로 만든, 머리에 쓰는 물건.
03327234-n	흙, 돌, 벽돌 같은 것으로 높이 쌓아 올려 집의 둘레 또는 그 밖의 일정한 공간을 둘러 막은 시설	흙, 나무, 돌, 벽돌 같은 것을 쌓아서 둘러 막은 방의 둘레.
03327841-n
03329663-n
03332393-n
03335030-n
03336575-n
03336839-n	노끈, 새끼 따위와 같이 묶거나 동이거나 하는 데 쓰는 물건 + 쇠로 만든 고리를 여러 개 걸어 이은 줄
03337727-n
03343853-n
03345487-n
03349296-n
03351262-n
03351434-n	고기잡이에 쓰는 제구 + 사냥하는 데 쓰는 연모
03352628-n	그물코처럼 엮어 만든 물건의 통틀어 일컬음.
03353616-n
03354903-n	헝겊이나 종이 따위에 글자나 그림이나 부호를 그리어서 막대 같은 것에 달아 특정한 뜻을 나타내는 표상으로 쓰는 물건
03355339-n
03355925-n
03359566-n	주로 액체나 가루를 담는 데 쓰이는, 목과 아가리가 좁은 그릇 + 아가리가 좁고 배가 부른 질그릇의 한 가지 + 꽃을 심는 그릇
03360731-n
03361945-n	비어 있는 그릇+술 따위를 따라 마시는 데 쓰려고 만든 작은 그릇+운두가 썩 얕고 납작한 그릇
03362639-n	옷을 지을 감.
03363749-n
03365374-n
03365592-n	물건의 바닥이 되는 부분.	밑이나 밑층의 겉면.
03367059-n	온갖 등에 켠 불
03367410-n	물건을 파는 가게.
03367545-n	솜, 삼, 고치, 털 따위를 가늘고 길게 뽑은 것.
03368352-n
03368637-n	집안에 있는 뜰이나 꽃밭.
03370387-n	온갖 등에 켠 불
03375694-n	종이처럼 얇고 판판하게 늘인 쇠붙이를 통틀어 일컫는 말. 
03377245-n
03379828-n	강이나 내나 두 언덕 사이의 위로 건너 다니도록 돌, 쇠, 나무 따위로 설쳐 만든 설비.
03380867-n	땅에 딛고 서거나 걷기 위하여 발에 신는 물건. 
03384891-n
03385557-n	성과 요새
03386011-n	성과 요새
03387016-n	집 따위와 같은, 만들어 세운 것의 가장 아랫도리가 되는 밑바탕.
03387323-n
03387506-n	토목이나 건축이나 그 밖에 여러 가지 물건을 만드는 데 재료로 쓰이는 돌.	바위가 부서져서 된 광물질의 굳은 덩어리
03388183-n
03388323-n	양복을 입을 때 와이셔츠 깃 위로 목을 둘러매어 앞으로 늘어뜨리거나 나비꼴의 매듭을 만드는, 천으로 된 물건.
03389983-n
03390207-n	전체를 몇으로 나눈 것의 하나하나.
03393912-n
03394916-n
03396580-n	절이나 암자. 또는 성당 및 수도원이나 교회.
03397532-n	치레하는 데 쓰이는 거리.
03397762-n
03398153-n
03398467-n	향하고 있는 쪽이나 곳
03399971-n
03405595-n	몸꾸미개.
03405725-n	집안 살림에 쓰는 온갖 제구.
03406966-n
03411762-n
03411927-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
03412058-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
03412220-n
03412387-n
03415486-n
03416329-n	이 곳에서 저 곳까지, 이 물체에서 저 물체까지 벌어진 틈.	벌어져 사이가 난 자리.
03417345-n	집안에 있는 뜰이나 꽃밭.
03419014-n	몸을 싸서 가리기 위하여 피륙 따위로 몸의 전체나 각 부분의 둘레에 맞게 지어 입는 물건.	몸을 싸서 가리기 위하여 피륙 따위로 몸의 전체나 각 부분의 둘레에 맞게 지어 입는 물건
03420440-n	치레하는 데 쓰이는 거리.
03424325-n	입마개.
03427202-n
03427296-n	드나들거나 통할 수 있도록 만들어 놓은 물건
03429914-n
03430091-n
03430551-n
03430959-n	베풀어서 갖춤. 또는, 그러한 시설.
03431243-n
03433877-n
03435991-n
03440512-n
03441112-n	추위를 막거나 손을 보호하거나 치레로 손에 끼는 물건. 
03443669-n
03443912-n	보는 힘을 돕거나, 또는 바람, 먼지, 센 빛 따위를 막거나 하여 눈을 보호하려고 덧쓰게 만든 물건. 
03444728-n	종이처럼 얇고 판판하게 늘인 쇠붙이를 통틀어 일컫는 말. 
03444838-n
03445120-n	유용한 광물을 캐내는 곳.
03447721-n
03448253-n
03448696-n
03449858-n	관청과 공서. 곧, 나라나 지방자치단체 기관의 사무소.	행정사무에 관하여 국가의 의사를 결정하고, 그것을 국민에게 표시하고 집행하는 국가기관
03450230-n
03450516-n
03451253-n	비어 있는 그릇+술 따위를 따라 마시는 데 쓰려고 만든 작은 그릇+운두가 썩 얕고 납작한 그릇
03453162-n	농장과 목장
03454885-n
03455033-n	무덤이 있는 땅. 또는, 그 구역.
03455488-n	사적을 길이 전하려고 돌이나 쇠붙이에 글을 새겨 세워 놓은 것
03456665-n
03458271-n
03458422-n
03461119-n
03461385-n	갖가지 물건을 늘 팔고 사고 하는 일정한 곳.
03465718-n
03466162-n
03467517-n
03467984-n	전쟁에 쓰이는 총검, 화포, 핵병기 따위 온갖 기구.
03468570-n
03469832-n	전쟁에 쓰이는 총검, 화포, 핵병기 따위 온갖 기구.
03471473-n	바다 따위의 물로 다니는 길
03472112-n	운동경기나 체조를 하는 시설을 마련하여 놓은 건물.
03472535-n
03474352-n	사람이 들어서 살 수 있게 만든 것
03474635-n
03474779-n
03474896-n
03475674-n	옷을 지을 감.
03478756-n	공중의 모임에 쓰기 위하여 지은 집
03478907-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
03479647-n
03479952-n	같은 층의 방들을 잇는, 건물 안의 긴 통로.
03481172-n
03481521-n
03482001-n
03482405-n	버들채나 싸리채 따위로 함처럼 만들어 종이로 바른 그릇. 옷이나 다른 물건을 넣어 두는 데 쓴다 + 곡식 따위를 담기 위하여 짚으로 거칠게 엮어서 만든 제구의 한 가지
03482523-n	계기에서 알고자 하는 방향, 시간, 분량 따위를 가리키는 바늘.
03483531-n
03484083-n
03485309-n
03485655-n
03485794-n
03485997-n
03488188-n
03488887-n	개인이나 단체의 이름 또는 어떤 글자나 기호 따위를 새겨 표적으로 찍는 물건.
03490006-n
03490119-n
03493792-n	쇠로 만든 갖가지 물건.
03494278-n
03494537-n
03494706-n	말을 부릴 때 쓰는 연장이나 말에 딸린 꾸미개.
03495258-n
03497182-n
03497657-n	주로 피륙으로 만든, 머리에 쓰는 물건.
03498962-n
03502042-n	이마의 양쪽으로 둘러매는 띠.
03502331-n
03504723-n	사무를 보는 곳.
03506880-n
03507048-n
03511175-n	흙, 돌, 벽돌 같은 것으로 높이 쌓아 올려 집의 둘레 또는 그 밖의 일정한 공간을 둘러 막은 시설	흙, 나무, 돌, 벽돌 같은 것을 쌓아서 둘러 막은 방의 둘레.
03513627-n	가의 언저리.	어떤 물건의 테두리나 얼개가 되는 물건.
03516011-n
03516844-n
03519578-n
03519981-n	다른 곳으로 다닐 수 있게 나 있는 곳
03520654-n
03520811-n
03523398-n
03523633-n	도구(즐겁게 노는 일)+ 운동하는 데 쓰는 기구
03524574-n	물건을 만들거나 고치는 데 쓰는 기구나 연장들.
03524976-n	널조각이나 철판 따위로 크고 깊게 만든, 주로 액체를 담는 데 쓰는 그릇+통조림. 또는, 통조림의 통+나무로 만든 통
03526198-n	뚫어지거나 파낸 자리.
03527675-n
03536931-n
03539103-n
03540267-n	실로 겯거나 떠서 만든 서양식 버선.
03540595-n	병든 사람을 진찰, 치료 및 예방하기 위하여 설비를 갖추어 놓은 곳.
03541091-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
03544238-n
03544360-n	사람이 들어서 살 수 있게 만든 것
03546235-n	집의 위쪽을 덮어 가리는 부분.
03548533-n
03548930-n
03563967-n	갖가지의 기구
03564667-n	사고 파는 물품.
03567912-n
03570709-n	물체의 바탕을 이루는 낱낱의 물질.
03574004-n	창작된 작품.
03579137-n
03584829-n
03585778-n
03586760-n
03589791-n
03594945-n
03595523-n
03595860-n
03597916-n	음악 기구. 관악기, 현악기, 타악기 들.
03599486-n
03600722-n
03600806-n
03602365-n	절이나 암자. 또는 성당 및 수도원이나 교회.
03610098-n	성과 요새
03610418-n	널조각이나 철판 따위로 크고 깊게 만든, 주로 액체를 담는 데 쓰는 그릇+통조림. 또는, 통조림의 통+나무로 만든 통
03612814-n	밑보다 아가리가 벌어지고 운두가 나지막하며, 뚜껑과 손잡이가 있는, 음식을 넣고 끓이는 데 쓰는 그릇 + 밥을 짓거나 국 따위를 끓이는 그릇
03617480-n
03618982-n	예배 의식이나 그 밖의 모임을 위해 세운 건물.
03619396-n
03619890-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
03620443-n	집안에 있는 뜰이나 꽃밭.
03621473-n	도구(즐겁게 노는 일)+ 운동하는 데 쓰는 기구
03623448-n	일정한 형체를 갖춘 모든 물질적 대상
03623556-n	물건을 베거나 썰거나 깎는 데 쓰는, 날과 자루가 있는 연장.
03624134-n	전쟁에 쓰이는 총검, 화포, 핵병기 따위 온갖 기구.
03626014-n
03628215-n
03629986-n	어떤 사물을 전문적으로 연구하는 곳.
03631177-n	옷을 지을 감.
03636248-n	온갖 등에 켠 불
03636649-n	온갖 등에 켠 불
03640166-n	사물을 선이나 색채를 써서 그리어 나타낸 것
03640988-n	온갖 등에 켠 불
03647423-n
03648219-n
03651084-n
03652100-n
03653740-n
03656374-n
03656484-n	볼록하거나 오목하게 갈아서 빛을 모으거나 분산시키게 만든 물건.
03658635-n	큰물이 넘치는 것을 막거나 물을 저장하려고 돌이나 흙 따위로 막아 쌓은 언덕.
03660664-n	도서를 비롯한 온갖 기록된 자료들을 모아 두고 일반이 와서 볼 수 있게 차린 집.
03660909-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
03661043-n	도서를 비롯한 온갖 기록된 자료들을 모아 두고 일반이 와서 볼 수 있게 차린 집.
03662601-n
03665366-n	해, 불 따위처럼 제 몸에서 스스로 빛을 내는 물체
03665924-n
03667235-n
03668906-n
03669094-n	전체를 몇으로 나눈 것의 하나하나.
03671272-n	다른 곳으로 다닐 수 있게 나 있는 곳
03673270-n
03673450-n
03673594-n
03676483-n
03678729-n	연극이나 영화 따위를 전문으로 상연하는 건물이나 시설.
03679174-n
03679712-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
03679986-n	다른 곳으로 옮기려고 꾸리거나 한 물건.
03683708-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
03684823-n
03685486-n	사람이 들어서 살 수 있게 만든 것
03685640-n
03685820-n	사람이 들어서 살 수 있게 만든 것
03688832-n	물체의 형상을 비추어 볼 수 있게 유리 따위로 만든 물건. 
03690168-n	보는 힘을 돕거나, 또는 바람, 먼지, 센 빛 따위를 막거나 하여 눈을 보호하려고 덧쓰게 만든 물건. 
03690473-n
03690600-n
03692136-n
03692379-n	몸을 싸서 가리기 위하여 피륙 따위로 몸의 전체나 각 부분의 둘레에 맞게 지어 입는 물건.	몸을 싸서 가리기 위하여 피륙 따위로 몸의 전체나 각 부분의 둘레에 맞게 지어 입는 물건
03699591-n
03699975-n	여러 기구들로 짜여져 어떤 힘을 받아 움직이거나 일을 하는 장치.
03701391-n
03701640-n	여러 기구들로 짜여져 어떤 힘을 받아 움직이거나 일을 하는 장치.
03702248-n	여러 기구들로 짜여져 어떤 힘을 받아 움직이거나 일을 하는 장치.
03702719-n
03704210-n	여러 가지 내용의 글을 모아서 펴내는 정기 간행물. 책처럼 매었으며 주간, 순간, 월간, 계간의 구별이 있다.
03710193-n	물건을 넣어 두기 위하여 나무, 대, 또는 종이로 만든 손그릇. 
03711603-n
03711897-n
03712729-n
03714235-n	화장하는 데 쓰는 물건.
03715669-n
03717447-n	뚫어지거나 파낸 자리.
03718212-n
03718581-n	집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.
03719053-n	사람이 들어서 살 수 있게 만든 것
03722288-n	갖가지 물건을 늘 팔고 사고 하는 일정한 곳.
03722827-n	밑보다 아가리가 벌어지고 운두가 나지막하며, 뚜껑과 손잡이가 있는, 음식을 넣고 끓이는 데 쓰는 그릇 + 밥을 짓거나 국 따위를 끓이는 그릇
03723153-n	햇볕을 가리거나 비를 막으려고 처마끝에 덧붙이는 넓은 조각.
03724870-n	입마개.
03725035-n	입마개.
03726760-n
03726993-n	집에서 주춧돌 위에 세워서 보, 도리 따위를 받치는 나무 + 큰 들보
03727605-n
03727837-n	앉거나 눕는 자리에 까는 물건.
03729402-n	물건을 넣어 두기 위하여 나무, 대, 또는 종이로 만든 손그릇. 
03729482-n
03729951-n	베풀어서 갖춤. 또는, 그러한 시설.
