# synset_id	pos	english_lemmas	korean_lemmas
02649830-v	Verb	dwell, inhabit, populate, live	거주하
02650552-v	Verb	shack, domiciliate, domicile, reside	거주하, 동거하
02651193-v	Verb	cohabit, live_together, shack_up	동거하
02652494-v	Verb	lodge	숙박하
02652729-v	Verb	sleep_over, stay_over	외박하
02660631-v	Verb	overlap	병행하
02665543-n	Noun	thorax	흉곽, 흉부, 가슴
02666060-v	Verb	come_close, approximate	가깝
02667379-n	Noun	abbey	수도원
02667576-n	Noun	abbey	수도원
02669001-n	Noun	abstraction	추상, 추상화
02669477-v	Verb	transcend, surpass, exceed	초과하, 돌파하, 상회하
02669723-n	Noun	academic_robe, judge's_robe, academic_gown	법의, 법복
02671421-n	Noun	accessory, supplement, appurtenance, add-on	부
02671780-n	Noun	accessory, accoutrement, accouterment	액세서리, 패물, 장신구, 부품, 장구, 부속품, 장식
02671988-n	Noun	slip_road, access_road	램프
02672371-n	Noun	accommodation	숙소
02675270-v	Verb	emulate	모방하
02675354-n	Noun	acetophenetidin, acetphenetidin, phenacetin	아스피린
02678839-v	Verb	intrigue, fascinate	포착하
02679227-v	Verb	begin	시작하
02679530-v	Verb	keep_up, sustain, prolong	연장하
02681518-n	Noun	adornment	장식
02682567-v	Verb	conserve	보전하, 보존하
02686379-n	Noun	air_conditioning, air_conditioner	에어컨
02687172-n	Noun	carrier, flattop, aircraft_carrier, attack_aircraft_carrier	항모, 매개체, 항공모함
02687992-n	Noun	landing_field, airfield, field, flying_field	들
02688443-n	Noun	airfoil, control_surface, surface, aerofoil	날개
02689274-n	Noun	airgun, air_rifle, air_gun	공기총
02689556-n	Noun	air_hole	기공
02690384-v	Verb	range, straddle	분포하
02691156-n	Noun	airplane, aeroplane, plane	비행기, 항공기
02692232-n	Noun	drome, airdrome, aerodrome, airport	비행장, 공항
02694662-n	Noun	alarm_clock, alarm	자명종
02694677-v	Verb	crown	노정하
02697759-n	Noun	alleyway, alley, back_street	소로, 오솔길, 골목, 통로, 뒷길, 골목길
02700622-n	Noun	alum	백반
02700767-n	Noun	aluminium_foil, aluminum_foil, tin_foil	은박지
02701002-n	Noun	ambulance	구급차, 앰뷸런스
02702830-v	Verb	accommodate, fit, suit	알맞
02703275-n	Noun	ammo, ammunition	탄환, 총알
02704153-n	Noun	pep_pill, upper, amphetamine, speed	각성제, 흥분제
02707547-n	Noun	analeptic	각성제, 흥분제, 강장제
02707683-n	Noun	anodyne, pain_pill, painkiller, analgesic	진정제, 진통제
02709637-n	Noun	anchor_chain, anchor_rope	닻줄
02710766-n	Noun	anaesthetic, anesthetic_agent, anaesthetic_agent, anesthetic	마취제
02713594-n	Noun	wing, annex, annexe, extension	연장, 날개
02714315-n	Noun	anode	양극
02715513-n	Noun	hall, lobby, antechamber, vestibule, foyer, entrance_hall, anteroom	휴게실, 전실, 홀
02715712-n	Noun	ack-ack_gun, antiaircraft_gun, flack, ack-ack, pom-pom, antiaircraft, flak	대공포
02716866-n	Noun	antibiotic_drug, antibiotic	항생제
02719588-n	Noun	counterpoison, antidote	해독제
02721438-v	Verb	provide, leave, allow, allow_for	허락하, 허가하
02723595-n	Noun	antipyretic, febrifuge	해열제
02724207-n	Noun	antiseptic	방부제
02727016-n	Noun	aperture	구멍, 구
02727281-n	Noun	aphrodisiac	최음제
02727825-n	Noun	apparatus, setup	장치, 설치
02728440-n	Noun	apparel, wearing_apparel, clothes, dress	옷, 의류, 양복, 승복, 피복, 법의, 의상, 드레스, 의료, 어의, 의복, 입성
02729222-n	Noun	applecart	손수레
02729837-n	Noun	appliance	용품, 틀
02731024-v	Verb	stay, persist, remain	잔존하
02733075-n	Noun	arboretum, botanical_garden	수목원, 식물원
02736511-n	Noun	scene_of_action, arena	경기장
02737351-n	Noun	ark	방주
02738031-n	Noun	armament	무기
02738535-n	Noun	armchair	안락의자
02739889-n	Noun	armoured_car, armored_car	장갑차
02740061-n	Noun	armoured_car, armored_car	장갑차
02740533-n	Noun	armoured_vehicle, armored_vehicle	장갑차
02742070-n	Noun	arquebus, hackbut, harquebus, hagbut	화승총
02742322-n	Noun	raiment, array, regalia	옷, 의복, 의류
02742753-n	Noun	arrow	화살
02743426-n	Noun	armoury, armory, arsenal	병기
02744323-n	Noun	arterial_road	간선도로
02745091-n	Noun	article_of_commerce	상품
02746365-n	Noun	gun, artillery, ordnance, heavy_weapon	기관총, 총, 중화기, 무기, 포, 병기, 건, 대포
02748618-n	Noun	acetylsalicylic_acid, aspirin, st._joseph, empirin, bayer	아스피린
02751451-v	Verb	ascend	오르
02752931-v	Verb	supplement	벌충하, 보충하
02753044-n	Noun	atom_bomb, plutonium_bomb, atomic_bomb, a-bomb, fission_bomb	원폭, 원자폭탄
02753710-n	Noun	pile, atomic_pile, chain_reactor, atomic_reactor	치
02753865-v	Verb	object	반대하
02756098-n	Noun	attire, dress, garb	옷, 드레스, 의상, 의복
02758490-n	Noun	screw_auger, gimlet, auger, wimble	송곳
02758863-n	Noun	autobahn	고속도로
02759443-v	Verb	flame	불꽃같, 타오르
02760429-n	Noun	automatic_weapon, automatic_firearm, automatic_gun	기관총
02762806-v	Verb	flame_up, flare, burn_up, blaze_up	불꽃같
02763472-n	Noun	boulevard, avenue	가로, 큰길, 대로, 도로
02763604-n	Noun	volary, bird_sanctuary, aviary	새집
02763609-v	Verb	flick, flicker	명멸하
02763714-n	Noun	awl	송곳
02763901-n	Noun	sunblind, awning, sunshade	천막, 차양
02764044-n	Noun	ax, axe	도끼
02764438-v	Verb	blaze	타오르
02766534-n	Noun	carriage, go-cart, perambulator, pusher, baby_buggy, baby_carriage, pushchair, stroller, pram	마차, 유모차, 객차
02777100-n	Noun	balance	형기
02777734-n	Noun	balcony	발코니, 베란다
02777927-n	Noun	balcony	발코니, 베란다
02779435-n	Noun	ball	국, 공, 구슬, 구, 볼
02780445-n	Noun	ball_cartridge	실탄
02780916-n	Noun	baseball_field, diamond, ball_field	야구장, 구장
02782329-n	Noun	balloon	풍선, 기구
02782681-n	Noun	ballot_box	투표함
02783161-n	Noun	biro, ballpoint, ballpen, ballpoint_pen	볼펜
02784998-n	Noun	band	끈, 허리띠, 벨트, 띠
02786463-n	Noun	banderilla	창
02788021-n	Noun	streamer, banner	기, 깃발, 깃대
02795169-n	Noun	barrel, cask	배럴, 통
02797295-n	Noun	garden_cart, wheelbarrow, lawn_cart, barrow	손수레
02797692-n	Noun	base, pedestal, stand	부지, 대
02798574-n	Noun	base	밑, 밑바닥, 밑동, 기지, 한계, 바닥, 바탕, 기초, 기저
02799175-n	Noun	baseball_bat, lumber	잡동사니
02799593-n	Noun	infield, diamond, baseball_diamond	내야
02800793-n	Noun	basic, staple	필수품
02801938-n	Noun	basket, handbasket	농, 광주리, 바구니, 조롱
02803349-n	Noun	bass	베이스
02803934-n	Noun	double_bass, string_bass, bass_viol, bass_fiddle, contrabass, bull_fiddle	베이스
02804252-n	Noun	bass_horn, sousaphone, tuba	관
02805845-n	Noun	bastinado	곤장, 장, 지팡이
02805983-n	Noun	bastion	아성
02806088-n	Noun	citadel, bastion	아성, 성채
02806762-n	Noun	bath_chair	휠체어
02806875-n	Noun	bathhouse, bagnio	목욕탕
02807731-n	Noun	bathroom, bath	욕실
02809736-n	Noun	baton	지휘봉
02810471-n	Noun	battery, electric_battery	기구
02811468-n	Noun	battle-ax, battle-axe	전부
02811719-n	Noun	battle_dress	군복
02811842-n	Noun	battle_flag	전기
02812201-n	Noun	battleship, battlewagon	전함, 군함, 군선
02813544-n	Noun	bazar, bazaar	바자, 시장
02813645-n	Noun	bazar, bazaar	바자, 시장
02813874-n	Noun	bb_shot, bb	탄
02814116-n	Noun	bb_gun	총
02814533-n	Noun	beach_waggon, station_waggon, station_wagon, beach_wagon, wagon, waggon, estate_car	화차, 짐마차, 마차
02815071-n	Noun	bead	주
02815237-n	Noun	beadwork, beading, bead, astragal	주
02817799-n	Noun	reed_instrument, reed, beating-reed_instrument	리드
02819697-n	Noun	bed	토대
02820210-n	Noun	bed_clothing, bedclothes, bedding	이불, 금침, 침구, 덮개, 이부자리
02820798-n	Noun	booby_hatch, nuthouse, funny_farm, madhouse, sanatorium, crazy_house, funny_house, cuckoo's_nest, snake_pit, nut_house, bedlam, loony_bin	요양소, 양호실, 정신병원
02821627-n	Noun	chamber, bedroom, sleeping_accommodation, bedchamber, sleeping_room	방, 침실, 안방
02822220-n	Noun	bed_cover, bedspread, bedcover, counterpane, bed_covering, spread	이불
02823428-n	Noun	beer_bottle	맥주병
02824448-n	Noun	bell	벨, 초인종, 종, 방울, 경종
02825004-n	Noun	belladonna	아편, 연고
02827606-n	Noun	belt	동체
02827883-n	Noun	belt	광대
02828884-n	Noun	bench	걸상, 의자, 벤치
02829116-n	Noun	bench	의자, 벤치
02834778-n	Noun	bicycle, bike, wheel, cycle	사이클, 자전거
02835271-n	Noun	tandem, tandem_bicycle, bicycle-built-for-two	자전거
02837416-n	Noun	big_h, smack, hell_dust, scag, skag, nose_drops, thunder	헤로인
02837789-n	Noun	two-piece, bikini	투피스
02844307-n	Noun	bit	송곳
02844714-n	Noun	bit	재갈
02847461-n	Noun	blackjack, sap, cosh	물, 곤봉
02848216-n	Noun	blade	날개
02849154-n	Noun	blanket, cover	모포, 덮개
02850732-n	Noun	blender, liquidizer, liquidiser	믹서
02854739-n	Noun	pants, drawers, bloomers, knickers	팬티, 바지, 반바지
02854926-n	Noun	blouse	블라우스
02856109-n	Noun	blueprint	청사진
02857477-n	Noun	boardinghouse, boarding_house	기숙사
02857644-n	Noun	council_chamber, boardroom	회의실
02858304-n	Noun	boat	배, 주정, 경정, 단정, 보트
02859184-n	Noun	boater, panama, straw_hat, skimmer, sailor, leghorn, panama_hat	세일러
02861886-n	Noun	body	물체
02866474-n	Noun	bolus	알약
02866578-n	Noun	bomb	폭탄, 용기
02867715-n	Noun	bomber	폭격기
02868546-n	Noun	bombshell	포탄, 폭탄
02869737-n	Noun	bongo_drum, bongo	봉고
02870092-n	Noun	book, volume	서책, 서지, 전적, 도서, 책, 서적
02871525-n	Noun	bookstore, bookshop, bookstall	책방, 서점
02873839-n	Noun	booth, stall, kiosk, cubicle	탈의실
02874086-n	Noun	booth	매점, 노점
02875013-n	Noun	border	모서리, 경계, 경계선, 가장자리, 변두리
02875233-n	Noun	bore, drill_hole, bore-hole	구멍
02876657-n	Noun	bottle	병, 약병
02878222-n	Noun	bottom, freighter, merchantman, merchant_ship	화물선, 조선, 상선
02879718-n	Noun	bow	활
02880008-n	Noun	fore, prow, stem, bow	선두
02880393-n	Noun	bow_and_arrow	무기
02880546-n	Noun	bowed_stringed_instrument, string	현
02880940-n	Noun	bowl	그릇, 사발, 접시, 용기, 대접, 주발
02883344-n	Noun	box	박스, 용기, 궤짝, 갑, 상자, 함
02888133-n	Noun	bracer, pick-me-up	흥분제
02894605-n	Noun	groyne, seawall, groin, breakwater, mole, jetty, bulwark	물
02897237-n	Noun	brewery	양조장
02898585-n	Noun	wedding_dress, wedding_gown, bridal_gown	웨딩드레스
02898711-n	Noun	bridge, span	육교, 교량, 가교, 다리, 선교, 전폭
02903006-n	Noun	broadaxe, broadax	전부, 도끼
02904803-n	Noun	brocade	비단
02912065-n	Noun	buffet, sideboard, counter	계산기
02912557-n	Noun	roadster, buggy	유모차
02912894-n	Noun	bugle	나팔
02914991-n	Noun	complex, building_complex	복합체
02916179-n	Noun	dozer, bulldozer	불도저
02916350-n	Noun	bullet, slug	탄환, 총탄, 총알
02917742-n	Noun	bullpen, detention_cell, detention_centre	독방
02919414-n	Noun	sheaf, bundle	꾸리
02919792-n	Noun	bungalow, cottage	방갈로, 재가, 오두막집, 시골집
02921884-n	Noun	sepulture, burial_chamber, sepulchre, sepulcher	산, 산소, 무덤, 묘소, 뫼
02922798-n	Noun	burlap, gunny	삼베
02924554-n	Noun	jalopy, heap, bus	버스, 차
02926188-n	Noun	bust	흉상
02927161-n	Noun	meat_market, butcher_shop	정육점
02927399-n	Noun	stub, butt	그루터기
02927608-n	Noun	butt	통
02930492-n	Noun	byproduct, by-product, spin-off	부산물
02930645-n	Noun	byway, bypath, byroad	옆길, 샛길, 뒷길
02930766-n	Noun	taxicab, cab, hack, taxi	택시
02931013-n	Noun	cabriolet, cab	택시
02932019-n	Noun	cabin	객실, 선실
02932227-n	Noun	cabin	객실, 선실
02932400-n	Noun	cabin	오두막, 오두막집
02932891-n	Noun	cruiser, cabin_cruiser, pleasure_boat, pleasure_craft	유람선
02933462-n	Noun	storage_locker, cabinet, locker	회의실
02934168-n	Noun	cable, line, transmission_line	케이블, 회선
02935658-n	Noun	cafe, coffee_bar, coffeehouse, coffee_shop	카페, 식당, 음식점, 찻집
02935891-n	Noun	cafeteria	식당, 음식점
02939763-n	Noun	calico	옥양목
02942699-n	Noun	camera, photographic_camera	카메라, 사진기
02943964-n	Noun	camise	겉옷
02944146-n	Noun	camisole, underbodice	속옷
02944826-n	Noun	cantonment, bivouac, encampment, camp	군영, 진영, 진, 막사, 야영, 캠프
02946921-n	Noun	can, tin_can, tin	통
02947212-n	Noun	canal	운하, 물길, 수로
02948072-n	Noun	taper, candle, wax_light	양초, 초
02949202-n	Noun	cane	장, 지팡이, 스틱, 단장
02949356-n	Noun	cangue	칼
02949691-n	Noun	marihuana, cannabis, ganja, marijuana	대마초, 마리화나, 삼, 환각제
02950256-n	Noun	cannon	대포
02950482-n	Noun	cannon	대포
02950826-n	Noun	cannon	대포
02950943-n	Noun	cannon_ball, round_shot, cannonball	포탄
02952374-n	Noun	canteen	수통
02952798-n	Noun	canteen	매점
02957427-n	Noun	capstone, copestone, coping_stone, stretcher	연석
02958343-n	Noun	auto, motorcar, machine, car, automobile	카, 차량, 화차, 자동차, 전동차, 차, 수레, 열차, 승용차
02959942-n	Noun	railroad_car, railway_car, car, railcar	카, 차량, 화차, 자동차, 차, 열차
02964389-n	Noun	consignment, loading, lading, load, freight, shipment, payload, cargo	수용, 적화
02965216-n	Noun	cargo_liner	화물선, 조선
02965300-n	Noun	cargo_vessel, cargo_ship	화물선
02965529-n	Noun	carillon	편종
02968473-n	Noun	carriage, equipage, rig	마차, 객차
02969323-n	Noun	carriageway	찻길, 차도, 차로
02969886-n	Noun	carrier	매개체
02970100-n	Noun	carrier	매개체
02970849-n	Noun	cart	손수레, 짐마차, 마차
02973558-n	Noun	carving	각
02974697-n	Noun	case	그릇, 용기
02975412-n	Noun	pillowcase, slip, case, pillow_slip	전표
02976939-n	Noun	money_box, cashbox, till	금고
02978055-n	Noun	jewel_casket, casket	갑
02980441-n	Noun	castle	성, 성채, 성루
02984061-n	Noun	cathedral	대성당
02984203-n	Noun	duomo, cathedral	대성당
02987492-n	Noun	cavalry_sword, sabre, saber	검, 군도
02991048-n	Noun	cell, electric_cell	셀
02991302-n	Noun	prison_cell, cell, jail_cell	독방, 방
02991555-n	Noun	cell, cubicle	골방, 독방, 탈의실, 방
02991711-n	Noun	cell	용기
02992211-n	Noun	cello, violoncello	첼로
02992529-n	Noun	cellphone, cellular_telephone, cell, cellular_phone, mobile_phone	전화
02997607-n	Noun	ceramic_ware	도기
02999410-n	Noun	chain	쇠사슬, 체인, 연쇄, 고리
03001627-n	Noun	chair	걸상, 의자
03002711-n	Noun	daybed, chaise, chaise_longue	걸상, 소파
03002816-n	Noun	chalet	산장
03002948-n	Noun	chalice, goblet	술잔, 잔
03003091-n	Noun	chalk	백묵, 분필
03003730-n	Noun	chamber	방, 안방
03004146-n	Noun	chamber	방, 안방
03006105-n	Noun	channel	도랑, 수도, 물길, 수로
03006903-n	Noun	chap	놈
03009794-n	Noun	charnel, charnel_house	납골당
03013580-n	Noun	teddy, shift, shimmy, chemise, slip	전표, 슬립
03014705-n	Noun	chest	궤짝, 궤
03015254-n	Noun	dresser, chest_of_drawers, bureau, chest	옷장, 장롱
03016511-n	Noun	chicken_farm	양계장
03016953-n	Noun	commode, chiffonier	책장
03017168-n	Noun	chime, bell, gong	공
03018209-n	Noun	china	도기
03020416-n	Noun	chip, poker_chip	행하
03020692-n	Noun	chisel	정, 끌
03021121-n	Noun	chiton	속옷
03022406-n	Noun	trichloromethane, chloroform	연고
03028079-n	Noun	church, church_building	교회, 대성당
03030035-n	Noun	cigar	담배, 연초, 시가
03030663-n	Noun	coffin_nail, fag, cigaret, cigarette, butt	담배, 연초
03032252-n	Noun	cinema, movie_theater, movie_house, picture_palace, movie_theatre	시네마, 영화관
03034244-n	Noun	circuit_breaker, breaker	고동, 차단기
03035252-n	Noun	circus_tent, big_top, round_top, top	장막
03036341-n	Noun	civvies, civies	신사복
03036469-n	Noun	civilian_clothing, plain_clothes, civilian_garb, civilian_dress	신사복
03038480-n	Noun	jackknife, clasp_knife	도자
03038685-n	Noun	classroom, schoolroom	교실
03039015-n	Noun	clavier, klavier	건반
03039827-n	Noun	cleaners, dry_cleaners	세탁소
03041632-n	Noun	cleaver, chopper, meat_cleaver	고기
03041810-n	Noun	clearstory, clerestory	고창
03043274-n	Noun	clinic	의원, 진료소
03044934-n	Noun	clipper	가위
03045074-n	Noun	clipper	가위
03046257-n	Noun	clock	시계
03047690-n	Noun	patten, sabot, clog, geta	나막신, 사보
03049457-n	Noun	closet	사실, 벽장
03051540-n	Noun	article_of_clothing, clothing, vesture, wear, wearable, habiliment	옷, 의류, 양복, 의복, 피복, 법의, 의상, 의료, 승복, 입성
03053474-n	Noun	club	곤봉
03054491-n	Noun	clubroom	방
03056368-n	Noun	coal_mine, coalpit	탄광
03057021-n	Noun	coat	겉옷, 피복
03058726-n	Noun	blazonry, coat_of_arms, blazon, arms	무구
03059528-n	Noun	cobblestone, cobble, sett	조약돌, 자갈
03060294-n	Noun	cocain, cocaine	코카인
03061211-n	Noun	cockhorse	목마
03062015-n	Noun	cocktail_dress, sheath	피복
03064758-n	Noun	coffin, casket	관
03066743-n	Noun	coke, c, nose_candy, snow, blow	코카인
03067212-n	Noun	cold_chisel, set_chisel	정
03069381-n	Noun	collector	전극
03071782-n	Noun	coloring_book	그림책
03071923-n	Noun	colours, colors	국기, 기치
03075634-n	Noun	combine	콤바인
03076411-n	Noun	commissary	매점
03076708-n	Noun	commodity, trade_good, good	생활필수품, 물건, 물품, 상품
03079741-n	Noun	compartment	골방
03082979-n	Noun	computing_machine, data_processor, electronic_computer, computing_device, computer, information_processing_system	컴퓨터, 전산, 전산기, 계산기
03088707-n	Noun	conductor	조절기
03089879-n	Noun	conference_room	회의실
03093574-n	Noun	consumer_goods	소비재
03096273-n	Noun	contraband	밀수품
03104147-n	Noun	copper_mine	동산
03106898-n	Noun	cord, electric_cord	코드
03109150-n	Noun	bottle_screw, corkscrew	마개
03109486-n	Noun	turning_point, corner, street_corner	길
03109881-n	Noun	nook, corner	코너, 모, 구석, 변, 모서리
03110332-n	Noun	cornerstone	초석
03110470-n	Noun	cornerstone	초석
03110669-n	Noun	trumpet, cornet, horn, trump	나팔, 각, 나발, 트럼펫
03112099-n	Noun	corridor	복도, 회랑
03113152-n	Noun	cosmetic	화장품
03113657-n	Noun	costume	옷, 의상
03113835-n	Noun	costume	옷, 의상
03114041-n	Noun	costume	옷, 의상
03114236-n	Noun	costume	옷, 의상
03115180-n	Noun	cotton	면, 명, 무명
03115301-n	Noun	cotton	면
03115400-n	Noun	canton_flannel, cotton_flannel	융
03116530-n	Noun	counter	계산기
03117642-n	Noun	countersink, countersink_bit, counterbore	송곳
03120491-n	Noun	court	코트
03123553-n	Noun	coverlet	이불, 덮개
03129123-n	Noun	creation	만물
03133415-n	Noun	earthenware_jar, crock	항아리
03134595-n	Noun	crop	농작물
03136504-n	Noun	cutoff_saw, crosscut_saw, crosscut_handsaw	톱
03138534-n	Noun	crown	노정, 정상, 절정, 천정, 정, 관
03138856-n	Noun	crown	정
03138981-n	Noun	crown, crest	정, 노정, 관
03141065-n	Noun	cruiser, prowl_car, patrol_car, police_cruiser, squad_car, police_car	순찰차
03141327-n	Noun	cruise_ship, cruise_liner	유람선
03141612-n	Noun	cruse	단지, 병
03141823-n	Noun	crutch	장, 목발, 지팡이
03142679-n	Noun	crystal, watch_crystal, watch_glass	결정체
03142834-n	Noun	crystal	결정체
03142912-n	Noun	crystal	결정체
03145384-n	Noun	cudgel	장, 곤봉, 지팡이
03146846-n	Noun	cultivator, tiller	경운기, 키
03147509-n	Noun	cup	잔, 컵
03149135-n	Noun	curb_bit, curb	재갈
03149686-n	Noun	curbstone, kerbstone	연석
03153246-n	Noun	cutlas, cutlass	단검
03154073-n	Noun	cutting_tool, cutter, cutlery	공구
03158186-n	Noun	dacha	별장
03158885-n	Noun	dagger, sticker	단검, 단도
03160309-n	Noun	dam, dyke, dike	보, 둑, 제방, 방조제, 방죽, 방파제, 댐
03160740-n	Noun	damask	단자
03166951-n	Noun	death_knell, death_bell	조종
03169390-n	Noun	ornament, decoration, ornamentation	장식품, 장식물, 장구, 장식
03175081-n	Noun	den	사실
03175843-n	Noun	dental_floss, floss	명주실
03176084-n	Noun	dentifrice	치약
03176763-n	Noun	emporium, department_store	백화점, 슈퍼
03178782-n	Noun	figure, design, pattern	장식
03179701-n	Noun	desk	책상, 테이블, 탁자, 데스크, 서안
03180384-n	Noun	dessert_spoon	숟가락
03180504-n	Noun	destroyer, guided_missile_destroyer	구축함
03181501-n	Noun	detector, demodulator	검출기
03182795-n	Noun	two, deuce	이
03185562-n	Noun	device	장치, 장비
03185746-n	Noun	device	장치, 장비
03192790-n	Noun	die	형틀
03192907-n	Noun	die	형틀
03193107-n	Noun	diesel_motor, diesel_engine, diesel	디젤엔진
03199901-n	Noun	dinghy, rowboat, dory	구명정, 보트
03200701-n	Noun	dining-room, dining_room	식당
03205458-n	Noun	dirk	단검, 비수, 단도
03206718-n	Noun	disguise	가장, 변복
03206908-n	Noun	dish	접시, 대접
03207743-n	Noun	dishrag, dishcloth	행주
03207835-n	Noun	tea_towel, dishtowel, dish_towel	행주
03210552-n	Noun	dispensary	진료소
03210940-n	Noun	display, presentation	전시
03211117-n	Noun	display, video_display	전시
03214670-n	Noun	diuretic, diuretic_drug, water_pill	이뇨제
03216402-n	Noun	diving_dress, diving_suit	잠수복
03219135-n	Noun	doll, dolly	인형, 돌, 돌리
03220513-n	Noun	dome	돔
03221720-n	Noun	door	문, 문호, 입구
03224032-n	Noun	room_access, door, threshold, doorway	현관, 출입구, 입구
03233123-n	Noun	drapery	포목, 피륙
03233423-n	Noun	lot, draw	추첨, 제비
03235042-n	Noun	withdrawing_room, drawing_room	정실, 응접실, 객실, 휴게실, 방
03235979-n	Noun	dray, camion	썰매
03236217-n	Noun	dredge	물
03236735-n	Noun	frock, dress	옷, 원피스, 의복, 드레스
03238131-n	Noun	dressing_room	탈의실
03239054-n	Noun	tailcoat, dress_suit, tail_coat, white_tie_and_tails, full_dress, tails, white_tie	정장
03239259-n	Noun	dress_uniform	예복
03239399-n	Noun	gallery, drift, heading	회랑
03239607-n	Noun	drift_net	유망
03239726-n	Noun	drill	드릴, 송곳
03241496-n	Noun	drinking_vessel	사발, 대접
03244388-n	Noun	driveway, drive, private_road	차도
03246052-n	Noun	drop	내림
03247620-n	Noun	drug	의약품, 약제, 약, 약품, 약물
03249342-n	Noun	chemist's, drugstore, pharmacy, chemist's_shop, apothecary's_shop	약국, 약방
03249569-n	Noun	drum, membranophone, tympan	드럼, 북
03250847-n	Noun	drumstick	채
03252637-n	Noun	dry-stone_wall, dry_wall	석벽
03253071-n	Noun	duck	면
03254374-n	Noun	dugout, dugout_canoe, pirogue	통나무배
03258330-n	Noun	dustrag, duster, dustcloth	걸레
03258730-n	Noun	dust_coat, duster, smock, gabardine, gaberdine	겉옷
03260504-n	Noun	dynamo	발전기
03261157-n	Noun	ear_hole	귓구멍
03262519-n	Noun	earthenware	도기
03262932-n	Noun	overstuffed_chair, easy_chair, lounge_chair	안락의자
03264542-n	Noun	edge	극, 실마리, 테, 변두리, 끄트머리, 변, 가장자리, 모서리, 귀, 테두리, 근처
03265479-n	Noun	edging	선
03268470-n	Noun	elbow	주부
03268790-n	Noun	electric_car, electric, electric_automobile	전차, 전동차
03272383-n	Noun	electric_lamp	전등, 전구
03273061-n	Noun	electric_motor	모터
03273551-n	Noun	hammond_organ, electronic_organ, electric_organ, organ	오르간
03274796-n	Noun	electrode	전극
03281935-n	Noun	elongation, extension	연장
03282060-n	Noun	embankment	제방, 둑, 방죽
03282401-n	Noun	embellishment	장식
03283827-n	Noun	emitter	전극
03284886-n	Noun	enamel	유약
03286383-n	Noun	remainder, end, remnant, oddment	동강
03287733-n	Noun	engine	엔진, 기관
03288500-n	Noun	engine_room, engineering	기관실
03289985-n	Noun	ensemble	전체, 조화
03291819-n	Noun	envelope	약봉지, 봉투
03294048-n	Noun	equipment	의장, 시설, 장치, 설비, 장비
03298089-n	Noun	estaminet	선술집
03303965-n	Noun	exit, outlet, issue, way_out	구멍
03306207-n	Noun	export, exportation	수출품
03306610-n	Noun	throughway, freeway, pike, state_highway, thruway, motorway, superhighway, expressway	고속도로
03306869-n	Noun	extension_phone, telephone_extension, extension	신장
03308297-n	Noun	eye	눈
03309214-n	Noun	collyrium, eyewash, eye-lotion	안약
03309808-n	Noun	material, fabric, textile, cloth	포목, 피륙, 직물, 옷감, 헝겊, 행주, 물, 베, 천
03313333-n	Noun	frontal, frontage, facade	프런트, 전면, 전부, 앞
03313456-n	Noun	face	전면
03313602-n	Noun	face	전면, 거죽, 면, 앞면, 노면, 표면
03313873-n	Noun	face	전면
03314378-n	Noun	face_mask	마스크
03314780-n	Noun	face_powder	백분, 분
03315023-n	Noun	facility, installation	시설
03315644-n	Noun	facing, cladding	전장
03315805-n	Noun	facing	전장
03315990-n	Noun	facing, veneer	전장
03316406-n	Noun	manufactory, manufacturing_plant, mill, factory	공장
03316873-n	Noun	factory_ship	공작선
03318865-n	Noun	falchion	검
03320519-n	Noun	masquerade_costume, fancy_dress, masquerade	가장
03320735-n	Noun	fancy_goods	잡화, 방물
03322099-n	Noun	farm	농원, 농장
03322836-n	Noun	farmhouse	농가
03323096-n	Noun	farm-place, farmplace, farmstead	농장
03324928-n	Noun	fatigues	작업복
03325941-n	Noun	trilby, stetson, fedora, felt_hat, homburg	중절모, 소프트
03327234-n	Noun	fencing, fence	펜스, 울타리, 목책, 담, 책, 담장, 원장, 장벽
03327841-n	Noun	wing, fender	전시
03329663-n	Noun	ferryboat, ferry	나룻배
03332393-n	Noun	field_gun, field_artillery	야포
03335030-n	Noun	fighter_aircraft, attack_aircraft, fighter	전투기
03336575-n	Noun	filament	필라멘트
03336839-n	Noun	file	줄
03337727-n	Noun	filet	레이스
03343853-n	Noun	firearm, piece, small-arm	장총, 소총, 화기, 권총
03345487-n	Noun	fire_engine, fire_truck	소방차
03349296-n	Noun	firkin	통
03351262-n	Noun	fishing_smack, fishing_boat, fishing_vessel	어선, 조선
03351434-n	Noun	tackle, fishing_gear, fishing_tackle, fishing_rig, rig	어구, 연장
03352628-n	Noun	fishing_net, fishnet	어망
03353616-n	Noun	fitting	장비
03354903-n	Noun	flag	기, 깃발, 깃대, 기치
03355339-n	Noun	flag, flagstone	포석
03355925-n	Noun	flagstaff, flagpole	깃대
03359566-n	Noun	flask	병
03360731-n	Noun	flatcar, flatbed, flat	화차
03361945-n	Noun	flatware	접시
03362639-n	Noun	fleece	양모
03363749-n	Noun	flintlock, firelock	화승총
03365374-n	Noun	flood, flood_lamp, photoflood, floodlight	만조
03365592-n	Noun	floor, flooring	바닥, 강바닥, 마룻바닥
03367059-n	Noun	floor_lamp	스탠드
03367410-n	Noun	florist_shop, flower_store, florist	꽃가게
03367545-n	Noun	floss	명주실
03368352-n	Noun	bed_of_flowers, flowerbed, flower_bed	꽃밭
03368637-n	Noun	flower_garden	꽃밭, 화단
03370387-n	Noun	fluorescent_lamp	형광등
