# synset_id	(argument	case_particle)*	lemma
00240184-n	10020890-n	이/가	03623556-n	을/를	10595647-n	에	대다
00240184-n	10020890-n	이/가	04451818-n	을/를	10595647-n	에	대다
00240184-n	10020890-n	이/가	03938037-n	을/를	07950418-n	에	대다
00240184-n	00007846-n	이/가	03623556-n	을/를	07950418-n	에	대다
00240184-n	00007846-n	이/가	02949356-n	을/를	07950418-n	에	대다
00240184-n	00007846-n	이/가	03938037-n	을/를	07950418-n	에	대다
00240184-n	10020890-n	이/가	04234160-n	을/를	10595647-n	에	대다
00240184-n	10020890-n	이/가	03623556-n	을/를	07950418-n	에	대다
00240184-n	10020890-n	이/가	02949356-n	을/를	07950418-n	에	대다
00240184-n	00007846-n	이/가	04451818-n	을/를	10595647-n	에	대다
00240184-n	00007846-n	이/가	03623556-n	을/를	10595647-n	에	대다
00240184-n	00007846-n	이/가	02949356-n	을/를	10595647-n	에	대다
00240184-n	00007846-n	이/가	03938037-n	을/를	10595647-n	에	대다
00240184-n	00007846-n	이/가	04451818-n	을/를	07950418-n	에	대다
00240184-n	00007846-n	이/가	04234160-n	을/를	07950418-n	에	대다
00240184-n	10020890-n	이/가	03938037-n	을/를	10595647-n	에	대다
00240184-n	10020890-n	이/가	04234160-n	을/를	07950418-n	에	대다
00293916-n	00007846-n	이/가	15286249-n	(을/로)	달리다
00293916-n	00004258-n	이/가	05058580-n	(을/로)	달리다
00293916-n	00004258-n	이/가	10288763-n	(을/로)	달리다
00293916-n	04576211-n	이/가	10288516-n	(을/로)	달리다
00293916-n	00007846-n	이/가	05058580-n	(을/로)	달리다
00293916-n	00004258-n	이/가	05058140-n	(을/로)	달리다
00293916-n	00004258-n	이/가	10288516-n	(을/로)	달리다
00293916-n	04576211-n	이/가	03313602-n	(을/로)	달리다
00293916-n	04576211-n	이/가	15286249-n	(을/로)	달리다
00293916-n	00007846-n	이/가	10288763-n	(을/로)	달리다
00293916-n	04576211-n	이/가	10288763-n	(을/로)	달리다
00293916-n	04576211-n	이/가	08675967-n	(을/로)	달리다
00293916-n	00007846-n	이/가	09393605-n	(을/로)	달리다
00293916-n	00007846-n	이/가	09359803-n	(을/로)	달리다
00293916-n	00004258-n	이/가	15286249-n	(을/로)	달리다
00293916-n	04576211-n	이/가	09393605-n	(을/로)	달리다
00293916-n	04576211-n	이/가	05058580-n	(을/로)	달리다
00293916-n	04576211-n	이/가	02693319-v	(을/로)	달리다
00293916-n	00004258-n	이/가	03313602-n	(을/로)	달리다
00293916-n	00007846-n	이/가	09624168-n	(을/로)	달리다
00293916-n	00007846-n	이/가	08630039-n	(을/로)	달리다
00293916-n	03964744-n	이/가	15282696-n	(을/로)	달리다
00293916-n	00007846-n	이/가	10288516-n	(을/로)	달리다
00293916-n	00007846-n	이/가	08675967-n	(을/로)	달리다
00293916-n	00007846-n	이/가	08524735-n	(을/로)	달리다
00293916-n	04576211-n	이/가	08570758-n	(을/로)	달리다
00293916-n	00004258-n	이/가	02693319-v	(을/로)	달리다
00293916-n	00004258-n	이/가	15282696-n	(을/로)	달리다
00293916-n	04576211-n	이/가	05058140-n	(을/로)	달리다
00293916-n	03964744-n	이/가	05058580-n	(을/로)	달리다
00293916-n	04576211-n	이/가	15282696-n	(을/로)	달리다
00293916-n	03964744-n	이/가	05058140-n	(을/로)	달리다
00293916-n	00004258-n	이/가	08570758-n	(을/로)	달리다
00293916-n	04576211-n	이/가	09359803-n	(을/로)	달리다
00293916-n	03964744-n	이/가	15286249-n	(을/로)	달리다
00293916-n	00007846-n	이/가	05058140-n	(을/로)	달리다
00293916-n	00007846-n	이/가	15282696-n	(을/로)	달리다
00293916-n	00007846-n	이/가	08570758-n	(을/로)	달리다
00293916-n	00007846-n	이/가	02693319-v	(을/로)	달리다
00293916-n	00007846-n	이/가	01861778-n	을	달리다
00293916-n	04576211-n	이/가	08524735-n	(을/로)	달리다
00293916-n	00007846-n	이/가	04576211-n	을	달리다
00293916-n	03964744-n	이/가	03313602-n	(을/로)	달리다
00293916-n	00004258-n	이/가	09393605-n	(을/로)	달리다
00293916-n	00007846-n	이/가	03313602-n	(을/로)	달리다
00293916-n	04576211-n	이/가	09624168-n	(을/로)	달리다
00293916-n	00004258-n	이/가	09624168-n	(을/로)	달리다
00293916-n	04576211-n	이/가	08630039-n	(을/로)	달리다
00293916-n	00004258-n	이/가	09359803-n	(을/로)	달리다
00342314-v	01775535-v	이/가	떨어지다
00342314-v	07488340-n	이/가	떨어지다
00342314-v	07543288-n	이/가	떨어지다
00342314-v	09849598-n	이/가	떨어지다
00342314-v	04840405-n	이/가	떨어지다
00348252-v	07989373-n	이/가	00894552-n	에	들어가다
00348252-v	08208560-n	이/가	01069190-v	에	들어가다
00348252-v	07989373-n	이/가	02419773-v	에	들어가다
00348252-v	10769607-n	이/가	00838367-n	에	들어가다
00348252-v	08208560-n	이/가	01621555-v	에	들어가다
00348252-v	07989373-n	이/가	00030358-n	에	들어가다
00348252-v	10769607-n	이/가	00620752-n	에	들어가다
00348252-v	07989373-n	이/가	01621555-v	에	들어가다
00348252-v	07989373-n	이/가	01065805-n	에	들어가다
00348252-v	08208560-n	이/가	00033020-n	에	들어가다
00348252-v	10769607-n	이/가	15137890-n	에	들어가다
00348252-v	08208560-n	이/가	00838367-n	에	들어가다
00348252-v	07989373-n	이/가	07142566-n	에	들어가다
00348252-v	08208560-n	이/가	15137890-n	에	들어가다
00348252-v	07989373-n	이/가	15137890-n	에	들어가다
00348252-v	08208560-n	이/가	07142566-n	에	들어가다
00348252-v	08208560-n	이/가	00913705-n	에	들어가다
00348252-v	07989373-n	이/가	00632201-n	에	들어가다
00348252-v	08208560-n	이/가	00620752-n	에	들어가다
00348252-v	08208560-n	이/가	06251781-n	에	들어가다
00348252-v	07989373-n	이/가	00606093-v	에	들어가다
00348252-v	07989373-n	이/가	08435388-n	에	들어가다
00348252-v	07989373-n	이/가	08307589-n	에	들어가다
00348252-v	07989373-n	이/가	02648639-v	에	들어가다
00348252-v	10769607-n	이/가	01065805-n	에	들어가다
00348252-v	08208560-n	이/가	01065805-n	에	들어가다
00348252-v	07989373-n	이/가	00913705-n	에	들어가다
00348252-v	08208560-n	이/가	00030358-n	에	들어가다
